person,position,start,end,prev,next,ps
Q2141189,Q19305384,1995-06-13,2003-06-10,,,statement/Q2141189-97DE24D9-0E3C-4F24-94FD-C7F574B3C930
Q2145209,Q19305384,2011-06-07,2015-06-09,,,statement/Q2145209-231C534F-902A-4487-B57C-1FF47C354FE7
Q21528722,Q19305384,2018-09-25,2019-06-11,,,statement/Q21528722-3a0399fe-4d6a-a2f2-514b-781369acb75e
Q2154593,Q19305384,2007-06-12,2011-06-07,,,statement/Q2154593-F30A8C93-5AF2-4F3E-87A8-A3857F9DFD45
Q2160649,Q19305384,1998-05-19,2003-06-10,,,statement/Q2160649-a7e78c0a-4ea5-6d0e-9766-76e0294dad53
Q2160649,Q19305384,2006-12-12,2007-06-12,,,statement/Q2160649-2a7bf958-4db2-3592-0925-416c7ab2ed39
Q2160649,Q19305384,2011-06-07,2018-06-20,,,statement/Q2160649-59ea8220-4ca9-ebfc-a816-ce8362f0be64
Q2160649,Q19305384,2019-02-05,2019-06-11,,,statement/Q2160649-C3F34251-AE95-4100-9E2C-E5C7268C982E
Q2162310,Q19305384,2003-06-10,2015-06-09,,,statement/Q2162310-EBD45B9D-4ECF-4782-9C7C-9860F4850615
Q2162310,Q19305384,2019-06-11,,,,statement/Q2162310-c8df1db4-424f-09dc-970c-38a932323f26
Q2166576,Q19305384,1999-06-08,2007-06-12,,,statement/Q2166576-BA4FB82D-3D88-4CC7-9DC4-33D56A4F4F48
Q2172630,Q19305384,2007-01-16,2007-06-12,,,statement/Q2172630-81DF2CE7-012E-4E54-9BCC-176453A846ED
Q2179559,Q19305384,2007-06-12,2011-06-07,,,statement/Q2179559-2BCEF2EA-E9A6-4CA1-A1D5-8A33518B0AF7
Q2185504,Q19305384,2007-06-12,2011-06-07,,,statement/Q2185504-A05A2121-3385-47E5-A501-FC259ADF2A0D
Q2196346,Q19305384,2007-06-12,2011-06-07,,,statement/Q2196346-299A3D12-DAFE-4972-836A-448B5F24D95F
Q2200008,Q19305384,1995-06-13,2003-06-10,,,statement/Q2200008-4C45BF7B-781D-4C7A-8EBC-8DA520D0C217
Q2201519,Q19305384,2018-07-04,2018-08-26,,,statement/Q2201519-E2955AC1-8092-4377-8D3E-6474B5F690C2
Q2207303,Q19305384,1995-06-13,2003-06-10,,,statement/Q2207303-87733AE5-CCC9-4B18-89F6-567D6335A4EA
Q2215214,Q19305384,2015-06-09,2019-06-11,,,statement/Q2215214-cf742134-4660-1ba9-17a6-17941a8aacac
Q2219688,Q19305384,2011-06-07,2015-06-09,,,statement/Q2219688-E18351D9-AC0F-48EA-974D-3C60A728A611
Q2227721,Q19305384,1995-06-13,2003-06-10,,,statement/Q2227721-4C70C8A7-203D-461E-9DBD-F32BA95C19F4
Q2227862,Q19305384,2007-06-12,2011-06-07,,,statement/Q2227862-9A4517E2-2322-427C-A501-20ECFC70F441
Q2228497,Q19305384,2011-06-07,2017-09-01,,,statement/Q2228497-5BBD293B-F14E-46C6-BB7B-59A46FB83357
Q2235715,Q19305384,2003-06-10,2007-06-12,,,statement/Q2235715-9931F202-4C50-4BC4-8CF6-DFC565272AED
Q2236130,Q19305384,2011-06-07,2015-06-09,,,statement/Q2236130-9377FE9C-AA28-480C-95AD-71D265DBF6B4
Q2238427,Q19305384,2009-05-19,2011-06-07,,,statement/Q2238427-6F492E83-5823-4044-A280-218D83DF711F
Q2241713,Q19305384,2015-06-09,2019-01-16,,,statement/Q2241713-3B418A64-F178-41FF-ACF0-2B1A45AF6192
Q224863,Q19305384,2011-06-07,2012-09-20,,,statement/Q224863-E4CF76B4-F851-4F33-8D23-3B9EE6088DBD
Q2257207,Q19305384,2003-06-10,2011-06-07,,,statement/Q2257207-8515C190-4692-4F9D-BBC5-918F9F138399
Q2257749,Q19305384,2011-06-07,2019-06-11,,,statement/Q2257749-413AF41A-BF79-48F6-A341-C59E0689578F
Q2262494,Q19305384,1991-06-11,2007-06-12,,,statement/Q2262494-11AE46F7-AEE5-4765-8F77-1D08A9961211
Q2264234,Q19305384,2019-06-11,,,,statement/Q2264234-31ad3f34-4548-6603-11f3-5246601f89f3
Q2269436,Q19305384,2010-10-26,2019-06-11,,,statement/Q2269436-C479552D-E3FD-430F-B740-1BEC195B5EF8
Q2281383,Q19305384,2011-06-07,2015-06-09,,,statement/Q2281383-8c090362-4fcb-f623-3e10-e3ee66061e44
Q2281383,Q19305384,2017-10-31,2019-06-11,,,statement/Q2281383-33DE2683-DF9F-4F95-B863-9728BB272221
Q2291070,Q19305384,2012-10-02,2019-06-11,,,statement/Q2291070-38FE169F-1D75-4DEB-A09E-3CAEF6F78409
Q2293713,Q19305384,2003-11-04,2011-06-07,,,statement/Q2293713-729C7A94-F9FE-4A96-87FB-4FE272EB7323
Q2299377,Q19305384,2004-10-12,2015-06-09,,,statement/Q2299377-83F239E1-B0BA-4027-B54B-0A08C574AC75
Q2303741,Q19305384,2015-06-09,2019-06-11,,,statement/Q2303741-747C98AB-A02F-41C9-AFC7-F4B6A0A67557
Q2304865,Q19305384,1999-06-08,2003-09-22,,,statement/Q2304865-7FC656C3-1000-43D6-A966-A992204FB09E
Q2311677,Q19305384,2019-06-11,,,,statement/Q2311677-c44a7fd3-4ba8-3c37-2302-f3c398dfd560
Q2320629,Q19305384,2011-06-07,2018-09-03,,,statement/Q2320629-4D34DC3F-59B0-4604-8C1C-1FE804624179
Q2328075,Q19305384,1999-06-08,2003-06-10,,,statement/Q2328075-64a17e11-4fad-ead0-1bcb-078b2798a8cf
Q2328075,Q19305384,2003-09-30,2007-06-12,,,statement/Q2328075-E440A00D-614E-44BF-B80E-2503283AE1EE
Q2333972,Q19305384,2019-06-11,2020-11-25,,,statement/Q2333972-54566ecc-4575-a66c-514e-0cf691c2bcf1
Q2341445,Q19305384,1991-06-11,2003-06-10,,,statement/Q2341445-99CF66CF-0F97-4A3F-AB7D-60947C71D679
Q2343224,Q19305384,2019-06-11,,,,statement/Q2343224-04352b93-4893-1105-0254-6d57cc5fe262
Q2348223,Q19305384,2015-06-09,2019-06-11,,,statement/Q2348223-95e866ea-442e-fe8a-00ee-35e19d5e2788
Q2349265,Q19305384,2007-06-12,2019-04-26,,,statement/Q2349265-A6969272-F5BE-467E-8F08-729B944CD01E
Q2349265,Q19305384,2007-06-12,2019-06-11,,,statement/Q2349265-A6969272-F5BE-467E-8F08-729B944CD01E
Q2349265,Q19305384,2019-04-26,2019-06-11,,,statement/Q2349265-ad0b090b-4d01-4728-17ac-4738c640eaee
Q2350164,Q19305384,2003-06-10,2007-06-12,,,statement/Q2350164-FA5275EA-961B-46F6-AC6A-57FDADA44957
Q2352603,Q19305384,2000-11-14,2007-06-12,,,statement/Q2352603-4F4B107C-FAAF-4408-8B5A-C6E2BD824C5A
Q2359123,Q19305384,1999-06-08,2003-06-10,,,statement/Q2359123-3CD93776-819B-48FC-AF31-29C30E122066
Q2360160,Q19305384,2007-06-12,2015-06-09,,,statement/Q2360160-0DA7AFBD-CBC0-4D08-8AEB-6A49F95F35BD
Q2361862,Q19305384,2003-06-10,2007-06-12,,,statement/Q2361862-1EBDF80B-870F-4B6D-B2B9-B98A28F9534C
Q2365655,Q19305384,1999-06-08,2011-06-07,,,statement/Q2365655-2D8127D5-C9B7-4B2F-A69E-75800ADEBABA
Q2376851,Q19305384,2001-06-19,2006-10-30,,,statement/Q2376851-58F4BC6C-E1F4-40E3-96EC-D3EF45F19093
Q2376884,Q19305384,1999-06-08,2003-06-10,,,statement/Q2376884-B13567AB-17CA-49C7-9010-AF0FBA12B5CD
Q2381545,Q19305384,1995-06-13,2003-06-10,,,statement/Q2381545-241AF524-5A09-49B7-9EE4-60FA2921332F
Q2384698,Q19305384,2021-04-13,2022-03-31,,,statement/Q2384698-e66ef5cf-4f6e-868d-5acf-43f3c8e3e534
Q2384698,Q19305384,2022-03-31,,,,statement/Q2384698-7f7232c6-4cf3-d40f-3d98-79b462848248
Q2388005,Q19305384,2003-06-10,,,,statement/Q2388005-9F5D3613-2396-42E4-9207-281DE587D88D
Q2393683,Q19305384,2002-01-22,2007-06-12,,,statement/Q2393683-48458ADC-76DD-4B96-96F2-4CE5013F8EAA
Q2403818,Q19305384,2011-06-07,2015-09-08,,Q2741884,statement/Q2403818-26474736-FF61-49C7-A085-2A2630E01792
Q2403818,Q19305384,2015-12-29,2017-03-22,,,statement/Q2403818-f9a3e826-4f5c-fef8-43ef-0f7169cceff8
Q2405243,Q19305384,1987-06-23,2003-06-10,,,statement/Q2405243-A322CC51-CAE5-4173-93B0-C90FE5735823
Q2408553,Q19305384,2003-06-10,2007-06-12,,,statement/Q2408553-E7A6421B-D976-4E41-A9B2-003736EBCC0A
Q2412366,Q19305384,2019-03-12,2019-06-11,,,statement/Q2412366-e151860d-7eab-4811-92d2-38387231a969
Q2419764,Q19305384,2015-06-09,2019-06-11,,,statement/Q2419764-D9C79565-62D8-441F-9831-54B7AE793A76
Q2421032,Q19305384,1995-06-13,2002-01-10,,,statement/Q2421032-C11A8589-B61D-4652-9DBA-58E481105861
Q2422816,Q19305384,2003-06-10,2010-06-16,,,statement/Q2422816-75afe5c1-4b29-1576-5442-c9ec9292c7bc
Q2448290,Q19305384,2015-06-09,,,,statement/Q2448290-83a33e14-4caa-4d0d-dd9c-524f9063a844
Q2449164,Q19305384,1995-06-13,2007-06-12,,,statement/Q2449164-718465F4-B128-4298-99B8-EC733DB18E80
Q2451404,Q19305384,2003-06-10,2004-10-12,,,statement/Q2451404-E63F0708-6EFE-49CF-82AC-0F179C5C83C8
Q2452452,Q19305384,2007-06-12,2011-06-07,,,statement/Q2452452-507B75D5-58C4-4924-8169-D479A2C47CB4
Q2453365,Q19305384,2004-09-07,2019-06-11,,,statement/Q2453365-C2F349B5-3809-4AEB-8F80-23FF708CB2E3
Q2458543,Q19305384,2003-06-10,2011-06-07,,,statement/Q2458543-33791FC0-C939-4918-8696-1F5CDB8C7E50
Q2461334,Q19305384,2011-06-07,2018-09-26,,,statement/Q2461334-4935C4B6-C517-420C-BD73-8F4D4402E0A8
Q2461401,Q19305384,2000-04-11,2003-06-10,,,statement/Q2461401-9d1822db-49c6-72c6-38b1-9ad30cae24cd
Q2469556,Q19305384,1995-06-13,2003-06-10,,,statement/Q2469556-1ACA3659-B5E6-478C-B521-636B33721666
Q2472224,Q19305384,2011-06-07,2015-06-09,,,statement/Q2472224-38f7637c-4346-93b1-8bbf-bad27913fc1a
